	DCZTrt_A_1	DCZTrt_A_2	DCZTrt_A_3	DCZctrl_A_1	DCZctrl_A_2	DCZctrl_A_3	DCZctrl_A_4	DCZTrt_N_1	DCZTrt_N_2	DCZTrt_N_3	DCZctrl_N_1	DCZctrl_N_2	DCZctrl_N_3	Ctrl_A_1	Ctrl_A_2	Ctrl_A_3	Ctrl_N_1	Ctrl_N_2	Ctrl_N_3
ENSMUSG00000068267	38	54	15	49	68	32	7	37.186	20	23	22	31	21	73	22	19	27	21	19
ENSMUSG00000068270	79.204	23	19	151	86	32	17	14	1	10	10	8	14	96	11	7	6	14	3
ENSMUSG00000068284	623	973.747	1147	1241.696	1137.201	985	392.999	1447.999	643.651	889.106	1105.158	1160.51	2056.722	787	816	1091.999	551.002	1861.722	1205
ENSMUSG00000068289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068290	87	151	86	120.053	158.999	79.001	37	111.999	51.001	109.001	79	88.999	112.768	112	143	115	41	141.999	75.001
ENSMUSG00000068299	21	7	3	51.931	31	1	0	9	2	7	7	2	1	17	18	4	3	4	1
ENSMUSG00000068302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068314	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000068323	0	0	3	7	10	3	0	8	0	0	1	6	4	4	0	0	1	1	3
ENSMUSG00000068324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.056	0	0	0
ENSMUSG00000068327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068328	74.334	99	141.726	189.383	181.602	92.176	50.493	140.691	67.429	92.316	121.774	118.659	87.901	132.962	29.995	132.272	77.001	59.662	71.176
ENSMUSG00000068329	25.673	16.576	47.824	59.306	79.558	72.315	25.507	64.74	16.877	41.616	65.844	67.752	30.044	48.595	16.537	31.729	42.865	13.583	19.677
ENSMUSG00000068335	6	0	2	8	8	0	1	0	0	0	0	0	0	5	1	0	0	0	1
ENSMUSG00000068341	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000068348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068373	483.168	1743.334	2390.898	941.341	1073.207	1836.452	797.61	2216.435	1002.997	1539.941	1590.955	1767.477	934.011	781.009	1447.757	1959.938	1075.821	524.092	1144.455
ENSMUSG00000068391	43	2	32	31	32	17	19	16	6	14	19	18	21	36	23	28	18	18.061	5
ENSMUSG00000068392	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
ENSMUSG00000068394	54	62	42	70	68	52	21	52.989	29	41	32	44	16	56	26	44	23	9	39
ENSMUSG00000068396	0	0	0	4.247	0	0	0	0	0	1.281	0	0	1.395	0	1.153	0	0	1.238	2.414
ENSMUSG00000068399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000068407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068417	3.006	16	0	1.939	0	4.487	0	1	0	0	0	0	1.975	2.043	0	1	0	0	0
ENSMUSG00000068428	0	0	0	0	1	1	0	7	1	0	3	3	0	0	13	0	1	2	0
ENSMUSG00000068431	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000068437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068452	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000068457	348.999	193	447.001	623	438.002	413	188	507.999	108	352.715	491	442	388.381	408.999	258.999	454.001	232	226	353.001
ENSMUSG00000068463	4	0	2	14	4.972	0	1	0	0	0	0	0	1	6.108	0	1	0	0	0
ENSMUSG00000068466	0	0	0	0	0	0	0	0	3.087	0	1.396	0	0	1.514	0	0	1.38	4.259	0
ENSMUSG00000068479	260.027	113.112	224.463	326.599	340.563	226.451	59.724	318.082	146.219	191.397	263.407	265.268	307.257	294.852	48.659	162.468	136.876	253.892	215.082
ENSMUSG00000068480	0	0	0	1.565	0	0	0	0	0	1.19	0	0	0	1.218	0	0	0	0	0
ENSMUSG00000068487	0	0	3	0	0	2	0	0	0	0	3	0	9	2	1	0	1	2	4
ENSMUSG00000068506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068522	0	0	6	2	6	3	2	5	0	2	11	5	0	0	2	21	3	0	8
ENSMUSG00000068523	49.621	52	37	35	55	34	2	45	17	29	45	33	59.999	77	7	31	12	38	51
ENSMUSG00000068535	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0
ENSMUSG00000068536	3	0	0	0	0	0	0	2	0	1	0	0	0	4	0	0	0	0	0
ENSMUSG00000068537	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000068547	0	0	1	3	32.875	2	0	0	0	0	0	0	0	4	0	0	0	0	0
ENSMUSG00000068551	75	22	35	119	98	12	1	21	5	24	17	23	8	77.999	10	26	13	1	8
ENSMUSG00000068566	196.001	177	189	107	151	177	90	270.001	49	149	174.341	170	70	99.435	98	165	120	48	111.001
ENSMUSG00000068574	0	0	0	8	8	5.563	2	0	2	1	6	3	1	3	0	6	0	6	1
ENSMUSG00000068579	0	0	0	0	1.554	0	0	2.703	1.249	0	0	0	2.396	0	0	0	0	3.667	0
ENSMUSG00000068580	41	23	30	76	56	31	7	62.001	3	30	25.846	52.001	9	49.001	25	30.001	28.001	7	15
ENSMUSG00000068587	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	3
ENSMUSG00000068600	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068601	0	0	0	1	0	0	0	1	2	3	2	0	0	0	0	0	0	1	0
ENSMUSG00000068604	0	0	0	0	0	0	0	0	0	0	1.023	1.057	1.037	0	0	0	0	0	1
ENSMUSG00000068606	44	0	7	13	0	0	1	1	0	4	0	0	66	2	5	1	0	20	36
ENSMUSG00000068614	0	1	0	0	2	2	0	3	0	1	2	2	3	0	0	0	0	6	5
ENSMUSG00000068615	15	6	6	21	28	8	0	13	13	13	20	29	5	0	1	12	8	2	10
ENSMUSG00000068617	10	22	17	15	13	40	3	25	0	19	23	13	6.999	7	27	27	23	7	13
ENSMUSG00000068629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068647	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000068663	256	416.007	433.001	415	418.999	341.999	132.173	537.999	270.999	363	355.236	358.631	558.001	279.158	250	353.165	236.999	573.668	517.339
ENSMUSG00000068674	0	0	0	0	0	0	0	1.023	0	0	1.053	0	2	0	0	0	0	4.473	0
ENSMUSG00000068680	8	0	4	8	19	7	2	0	3	0	0	0	14	10	0	2	0	18	8
ENSMUSG00000068686	5	0	11.58	1	9.134	7.662	3.16	27.761	4.953	14.628	17.684	13.605	25.955	8.759	2.479	6.204	8	27	20
ENSMUSG00000068689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068696	28	12	318	72	84	118	21	345.36	26	157	76	102	29	119	46	53	171	9	29
ENSMUSG00000068697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068699	44	0	4	11	17	7	6	0	5	2	0	1	7	11	18	9	0	3	0
ENSMUSG00000068706	1.102	0	1.155	11.993	3.659	3.157	2.002	3.523	1.001	1.099	5.207	2.278	16.92	4.358	0	2.56	0	7.277	2.001
ENSMUSG00000068732	46	29	60.914	73.916	140	71	16.834	89.575	46	76.846	67.85	72	147.592	109	13	21	46	124.437	97.163
ENSMUSG00000068735	138.999	64	135	184	145	136	58	70	73	65	48	68	41	136	49	84	36.001	24	16.001
ENSMUSG00000068739	164.95	123.448	279.999	243.795	345.903	149.845	103.838	270.656	135.712	263.426	310.135	321.073	269.043	184.788	112.999	240.919	143.912	159.073	204.383
ENSMUSG00000068740	262	622	556	659	611.5	434	205	548	364	420	449	478	383	387	254	468	295.112	315.609	351
ENSMUSG00000068742	260.462	453.851	285	380.299	377	355	130	380.924	269.742	326.999	351	386.546	584.879	293.457	211	342.804	214	592.001	403.358
ENSMUSG00000068744	16.001	2	66.001	28.001	42.999	27	14.999	79	107	99.001	77.999	48	424	14	9	32	29	330.039	182.4
ENSMUSG00000068745	0	0	1	5	0	1	0	0	4	0	0	0	0	0	0	4	0	1	0
ENSMUSG00000068747	510.614	554	1096.739	1054.239	1359.054	708.824	272	1065.434	318	750.999	840	893.512	353	810	355	915.001	541	240.008	534.842
ENSMUSG00000068748	6956.508	436.999	711	7303.627	7636.082	632.999	251	88.999	52	300.001	83	94	175	10360.413	342	679	55	28	120
ENSMUSG00000068749	13	8	19	23.93	47	6	3	69	2	23	57	48.839	17.944	52	0	14	30.516	28	20
ENSMUSG00000068758	3	0	5	6	1	5	2	5	1	0	3	6	9	1	3	1	0	7	5
ENSMUSG00000068762	1	0	5	7	10	4	0	2	0	0	0	0	1	13	0	0	1	0	0
ENSMUSG00000068776	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000068794	2	0	16	3	5	18	2	11	21	8	5	10	2	4	2	6	9	2	5
ENSMUSG00000068798	199.999	51	112	194.934	331.648	94.791	36	143.859	10.996	66	91	95.997	59.628	283.481	47	108.8	63	41.486	58.709
ENSMUSG00000068806	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
ENSMUSG00000068808	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0
ENSMUSG00000068809	0	0	4	0	0	0	0	0	5	13	0	0	18	0	0	0	0	17	8
ENSMUSG00000068810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068816	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068818	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000068819	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000068823	765.987	555.999	929	1185.001	1367.027	757.893	246.999	1429.001	459.001	856	1093.001	998.875	1046.25	1147.984	396	929.001	670.545	665.001	896.027
ENSMUSG00000068824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068854	60	9	30	29.001	40	7	13	44	16	25	44	15	90	56	7	28	10	90	32
ENSMUSG00000068855	20	0	3	19.541	28.72	1	0	7	0	4	8	5	4	9	1	2	4	0	0
ENSMUSG00000068856	41.677	13	21	37	26	4	7	21	19	13	11	16	47	10	0	0	10	28.038	16
ENSMUSG00000068859	7	3	11	23.325	20	3	5	5.22	5	11.032	7.037	8	1	13	1	6	5	4.185	8.035
ENSMUSG00000068860	0	0	0	1	3	0	0	2	1	10	3	1.312	14.559	9	3	5	1	24	4
ENSMUSG00000068874	20	0	2	25	40.757	0	0	0	0	4	1	2	0	33	2	4	0	0	2.997
ENSMUSG00000068876	4	46	21	38	21	68	16.004	24	10	37	21	43.999	16	8	2	29	11	3	23
ENSMUSG00000068877	0	3	0	0	2.243	0	2	3	0	1	2	2	0	0	0	0	0	0	2.003
ENSMUSG00000068879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068882	225.989	81.232	207.999	258	320	185	54	365	49	188.781	217	270.001	199.998	247.917	54	173.999	154.48	109	182.952
ENSMUSG00000068885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068893	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000068917	504	455.676	556.999	606.645	752.31	420	160	565.999	313	435.001	441	496.001	519	595.875	272	408	256	323.001	364.297
ENSMUSG00000068921	75	55	132	107.999	153.143	94	52	162.142	58	93	162	166.001	120.014	85	85	114	53.368	68	87
ENSMUSG00000068922	77.728	75.629	85.937	145.152	122.478	91.513	19.345	102.019	22.631	87.204	81.34	76.878	72.646	58.936	74.844	81.427	38.065	18.23	26.008
ENSMUSG00000068923	1512.874	523.815	1185.748	2450.082	3345.696	759.086	232.32	1679.664	373.47	879.904	1308.451	1374.148	861.745	2297.984	373.12	1101.099	850.344	574.296	683.511
ENSMUSG00000068940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068950	6	7	12	2	3	5	6	13	1	4	12	5	9	4	6	5	3	6	6
ENSMUSG00000068957	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0
ENSMUSG00000068959	94	27	78	136	172	69	32	110	10	42	79	102	39.326	138	21	92	57	24	40
ENSMUSG00000068962	11.119	7.392	29.802	12.262	12.239	8.231	4	27.386	12.594	13.228	30.661	24.1	6	25.192	1.381	12	13	5	1
ENSMUSG00000068964	7.52	0	11.472	0	7.719	0	0	0	9.248	0	0	15.807	0	6.825	0	0	0	12.973	0
ENSMUSG00000068966	130	140	287	189	292	233	55	317	158	193.437	277	254	219	144	111	244	121	199	241
ENSMUSG00000068969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068999	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2.018	1
ENSMUSG00000069008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069011	0	1.324	0	0	1.278	0	1.124	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069014	0	0	0	75.174	70.757	0	0	0	0	0	0	0	168.239	0	0	0	0	155.476	63.826
ENSMUSG00000069020	40	31	49	85	78	33	10	38	46	31	28	19	46	94	20	38	14	45	60
ENSMUSG00000069036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ENSMUSG00000069041	0	0	0	1	1	1	0	4	0	0	1	0	3	0	1	1	0	2	2
ENSMUSG00000069044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069045	281	82	220	286	412	141	66	259	56	207	252	164	340	272.001	52.995	192	112	201.001	232.09
ENSMUSG00000069049	397.999	283	481.999	582.001	644.001	461.999	203.001	848	163.001	640.642	759.001	579	626	564	322	501	347	504	466
ENSMUSG00000069053	1	0	0	4	8	0	0	0	0	0	0	0	0	9	0	0	0	1	0
ENSMUSG00000069072	139	610	660	486.346	375	530	188	941.997	262	600	753	570	823	180	273	622	483.621	718	563.44
ENSMUSG00000069074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069083	0	2	0	0	0	0	3.614	12.223	0	0	0	4.697	0	0	2	0	5.438	0	0
ENSMUSG00000069085	0	1	0	0	0	2	3	2	0	0	3	2	0	0	1	0	0	1	1
ENSMUSG00000069089	71	106	122.352	72.001	107	100	39	146.044	93	88	119.139	105	258.999	78.999	87	82	68	253.999	154
ENSMUSG00000069094	324.127	240	546	454	423	396	170	734.998	242	428	587	504.077	460	428	263.001	577	325.747	352	425.999
ENSMUSG00000069114	65.257	68	138	104	161	140	33	163	67	125	122	151	961.417	92	89	96	64	680.138	274
ENSMUSG00000069117	0	0	0	0	0	0	0	0	0	0	1.304	0	1	0	0	0	0	0	0
ENSMUSG00000069118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069132	3	0	3	6	1	21	3	10	0	7	6	7	2	0	15	6	2	0	2
ENSMUSG00000069135	87.502	120.805	194.267	138.99	108.3	143.683	59	268.743	81	156.495	241.608	182.743	193.872	82.999	92.71	166.564	114.634	160.839	151.819
ENSMUSG00000069170	123.001	5	8	180	172.999	9	15	12	2	5	8	8	1	251	12	13	2	2	2
ENSMUSG00000069171	48	43	72	105	129.999	78	21	141	49	79	125	79.472	86	70	40	89	62	47	50
ENSMUSG00000069184	20	8	49	49	48	56	9	102	22	59	61	67	34	34	41	58	48	44	57
ENSMUSG00000069188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.773
ENSMUSG00000069189	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0
ENSMUSG00000069196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069206	88.873	78.388	71.793	90.253	112.254	52.389	13	91.907	35	101.499	89.329	102.392	136.917	91.246	40.336	78.481	30.518	96.457	123.328
ENSMUSG00000069208	20.163	8.999	35.321	48.237	33.2	26.828	8.041	50.471	2	23.536	41.205	29.11	24	42.954	11.001	24.647	11.184	5	18.904
ENSMUSG00000069223	0	2	7	8	2	2	2	2	1	1	0	2	2	2	1	0	0	1	0
ENSMUSG00000069227	10	41	32	44	35	29	19	67	12	35	26	57	12	44	11	30	25	11	9
ENSMUSG00000069236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069237	254	152	303	317	458	219	67	483.002	122	239	350	366	424	279	101	217	203	298	255
ENSMUSG00000069248	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0
ENSMUSG00000069255	116	31	80	133	149	93	36	105	36	60	111	79	33	72	62	90.1	47	22	41
ENSMUSG00000069258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.069	0
ENSMUSG00000069266	0	1.532	1.162	0	0	0	0	0	0	0	4.685	1	0	1.037	0	0	1	1.029	0
ENSMUSG00000069267	4.906	0	0	0	1.383	0	0	1	0	0	0	0	1.207	0	0	0	0	0	0
ENSMUSG00000069268	0	0	0	0	1	0	0	0	0	0	0	3	0	2	0	0	0	0	2
ENSMUSG00000069270	6.401	4	0	4.053	13.68	5.251	0	4.045	12.845	3.225	0	0	96.739	14.42	0	1.015	2.202	65.892	17.646
ENSMUSG00000069272	1.433	0	0	3.238	0	3.749	0	0	0	3.788	0	5.444	2.41	1.297	1.416	0	0	11.577	1.206
ENSMUSG00000069273	8.24	0	3	13	4.71	3	0	2	6	3.122	1.709	0	37.702	5.457	0	2	1	32.87	5.236
ENSMUSG00000069274	1.117	0	0	0	0	0	0	0	0	0	0	2	2.067	0	0	0	0	3.133	1.053
ENSMUSG00000069280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000069289	4	2	2	0	1	1.001	1.001	0	1	1	0	0	2	0	1	0	0	1	2
ENSMUSG00000069292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069294	0	0	0	0	0	5	1	1	0	0	2	1	1	0	0	1	2	1	0
ENSMUSG00000069295	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069299	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	4	0
ENSMUSG00000069300	1.259	0	0	0	0	0	0	0	1	0	0	0	2.304	1.451	0	0	0	2.067	1
ENSMUSG00000069301	0	0	0	0	0	0	0	0	0	2.225	1.255	0	1.189	0	0	0	0	0	0
ENSMUSG00000069302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069303	19.22	0	0	0	18.373	0	0	0	25	6.576	0	0	164.585	0	0	0	0	120.999	35.214
ENSMUSG00000069305	10.326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.187	0
ENSMUSG00000069306	0	3.468	2	0	2	0	0	0	0	1	0	0	1	0	0	0	1	2.813	0
ENSMUSG00000069307	11.35	0	7.56	6.248	0	3	5	3.187	0	6.424	0	1.141	36.683	11.945	0	6	0	6.657	14.725
ENSMUSG00000069308	1.081	0	0	2.574	0	0	0	0	0	1	0	0	3.366	0	0	0	0	2.043	2
ENSMUSG00000069309	1.131	0	0	0	0	0	0	0	0	0	0	0	6.507	2.517	0	0	0	2.133	0
ENSMUSG00000069310	2.144	0	2	0	0	0	0	0	0	0	0	0	2.138	1	0	0	0	0	0
ENSMUSG00000069315	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000069324	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000069355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069372	4	0	0	1	1	0	2	2	3	0	0	0	1	11	0	1	1	0	0
ENSMUSG00000069376	1.015	0	5.082	1.018	4.113	1.023	0	5.131	1.009	0	6.186	4.108	10.108	4.142	1.005	6.184	2.09	5.023	3.09
ENSMUSG00000069378	0	11	3	7	1	0	1	0	0	0	0	0	0	7	0	1	0	0	0
ENSMUSG00000069379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069421	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069430	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ENSMUSG00000069439	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000069441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069456	0	1	0	15	0	1	0	2	0	1.033	6.61	2	0	1	0	0	0	4	4.154
ENSMUSG00000069475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069495	327	244	331	409.793	478	247	107	617	56	354	431	402	206	394	110	309	272	130	215
ENSMUSG00000069515	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1.042	2	1	0
ENSMUSG00000069516	353	4	14	68	51	15	8	6	2	23	1	0	12	17	4	14.958	0	0	1
ENSMUSG00000069520	46	40	84	89	87	50.999	24	84	35	42	62	50.001	114	66	43	75	39	69.999	69.999
ENSMUSG00000069539	147.001	181	314.001	311	359.49	334	76.999	565	176.999	293	508.525	464.073	412.999	218.381	136	313	230.999	300.001	331
ENSMUSG00000069540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2.864
ENSMUSG00000069554	0	0	6	0	4	12	0	10	0	6	5	5	4	0	1	5	1	2	7
ENSMUSG00000069565	148	125.001	159.001	91	127	126	60	101	92	90	77.001	78.001	147.999	139	62	98.999	45	103.001	83
ENSMUSG00000069581	0	0	1	0	1.001	2	0	5	1	1	4	0	0	0	2	0	0	1	0
ENSMUSG00000069582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000069584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069588	0	0	0	0	0	3	0	1	0	2	0	0	1	0	0	0	1	0	2
ENSMUSG00000069601	3460.888	5167.786	7772.795	7586.72	9519.749	6669.789	2846.812	8366.21	3587.002	6286.432	6704.524	7200.48	5815.432	6460.951	4766.872	7439.603	3769.997	4629.691	6213.711
ENSMUSG00000069607	0.5	0	0	0	0	0	0	0	0	0.333	0	0.333	0	2	0	2	0	0	0
ENSMUSG00000069609	0	0	0	0	0	0	0	1	0	0.333	0	0.333	0	0	0	0	0	0	0
ENSMUSG00000069620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069631	174.08	345	409.434	324.152	259.095	423.055	158	371.053	212	329.54	448.745	379.138	191.395	194.141	210	367.025	198.044	115.175	245.198
ENSMUSG00000069633	72.523	104.979	66.332	113.384	79	79.842	51	117.035	62.594	73.85	119	98.692	53.233	91	60	81	66.665	58	53
ENSMUSG00000069662	438	36	116	278	425.227	116	28	205	43	81	98	104	177	643.877	64	95	78	152	89
ENSMUSG00000069668	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000069670	118	121	207	255	267.415	214.999	65	202.001	19.999	119	179	126	59.001	233	124	211	126.592	16	84.999
ENSMUSG00000069678	8	13	5	4	13	6	4	8	7	10	12	14	11	11	2	5	4	3	4
ENSMUSG00000069682	0	8.684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.656	0
ENSMUSG00000069706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069712	0	0	0	0	0	0	0	0	0	0	0	0	2.02	0	0	0	0	0	0
ENSMUSG00000069713	2	0	5	2	2	0	2	5	4	8	5	5	43	2	3	3	8	31.4	10
ENSMUSG00000069717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069721	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1
ENSMUSG00000069722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069727	140.547	93.251	123.605	175.439	163.526	159.544	62.736	237.207	48.556	162.804	201.999	197.255	80.15	160.927	118.351	187.574	125.752	36.369	88.165
