	IVMTrt_A_1	IVMTrt_A_2	IVMTrt_A_3	IVMTrt_N_1	IVMTrt_N_2	IVMTrt_N_3	IVMctrl_N_1	IVMctrl_N_2	IVMctrl_N_3	Ctrl_A_1	Ctrl_A_2	Ctrl_A_3	Ctrl_N_1	Ctrl_N_2	Ctrl_N_3
ENSMUSG00000087603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087604	0	0	0	0	6	11	0	0	1	0	0	1	0	4	8
ENSMUSG00000087605	2	4	0	3	0	4	1	1	0	0	2	1	0	0	0
ENSMUSG00000087606	18	34	8	4	72	8	14	26	24	18	23	21	10	12	6
ENSMUSG00000087607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087610	12	5	0	13	6	1	4	6	4	6.251	0	24.75	4.519	0	2
ENSMUSG00000087611	11	12	15.396	17.659	12.308	8	10	11	2.131	7	8	16	8	12	15.764
ENSMUSG00000087612	3.287	0	0	0	4.799	0	0	0	1.371	0	2.243	0	0	0	0
ENSMUSG00000087613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087614	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000087615	0	0	16	0	15	0	0	0	0	0	0	0	0	3	1
ENSMUSG00000087616	9	14	4	4	0	2	2	2	2	2	0	2	1	5	7
ENSMUSG00000087617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087620	845.002	1303.453	699	932.234	1282.725	641	1264.427	1192.652	1050.001	471	621	1250	819.297	813.733	1483
ENSMUSG00000087621	6	15	0	2	6	1	4	1	3	3	0	2	0	6	15
ENSMUSG00000087622	0	0	0	0	4	0	0	0	1	0	0	0	0	0	2
ENSMUSG00000087623	33	8	18.001	12	17	12	25	24	15.186	4.084	11	15.249	6	21.328	16
ENSMUSG00000087624	5	1	0	1	0	4	0	1	0	0	0	0	1	0	0
ENSMUSG00000087625	15	78	18	47	44	17	57	38	54	14	47	93	45	25	49
ENSMUSG00000087626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087627	58.575	141.347	100.771	141.804	75.107	32.92	187.248	135.345	168.289	114.283	90.227	188.626	67.802	61.353	91.742
ENSMUSG00000087628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087629	0	1	0	0	0	0	1	0	2	1	1	0	0	4	2
ENSMUSG00000087630	3	5	4	2	0	0	4	0	2	8	0	1	1	0	4
ENSMUSG00000087632	2	0	0	3	0	0	0	1	0	1	1	1	0	1	1
ENSMUSG00000087633	4.902	2.504	20.816	1.246	4	0	1.276	4.001	0	3.416	0	0	2	0	5
ENSMUSG00000087635	0	0	0	0	0	0	1.39	0	0	0	0	0	0	0	0
ENSMUSG00000087636	4	19	2	11	2	2	9	17	12	0	15	13	5	5	6
ENSMUSG00000087637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087638	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0
ENSMUSG00000087639	7.023	0	0	10.923	9.308	8.041	3.314	3.553	1.984	6.436	2.335	1.645	0	4.85	11.612
ENSMUSG00000087640	6.778	3.879	8.195	4.869	2.328	13.976	5.798	3.91	12.002	1.26	1.066	9.226	7.271	7.44	7
ENSMUSG00000087641	0	0	4	0	0	0	0	0	0	2.827	0	1	0	0	0
ENSMUSG00000087642	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087644	14.279	27.67	25.093	24.881	0	15.832	30.401	50.075	4.996	1.974	14.539	30.004	13.17	5.048	44.783
ENSMUSG00000087646	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087648	0	0	0	0	5	0	1	2	0	0	0	0	0	3	2
ENSMUSG00000087649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087651	9	17	11	26	6	2	16	18	13	4	31	30	7	10	2
ENSMUSG00000087652	1.011	5.085	2.042	2	4.024	2	1.009	0	2	0	3.05	11	1	2	3
ENSMUSG00000087654	0	2.285	0	0	0	0	0	0	1.234	0	2.24	0	0	0	0
ENSMUSG00000087657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087658	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000087659	0	1	0	0	37	46	0	10	0	0	0	0	0	6	3
ENSMUSG00000087660	26.873	0	1.369	0	6.803	2.491	3.691	0	14.928	27.022	1.871	0	1.78	17.694	15.924
ENSMUSG00000087662	4.389	6	8.633	1	5	3	0	0	0	1	0	2.219	0	0	0
ENSMUSG00000087663	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0
ENSMUSG00000087666	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000087667	6	0	0	0	1	17	0	17	0	0	0	1	0	0	1
ENSMUSG00000087668	10	40	42	40	21	12	40	30	37	6	88	47	13	22	51.11
ENSMUSG00000087669	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ENSMUSG00000087670	10	8	6	1	11	3	7	5	3	3	5	9	3	0	0
ENSMUSG00000087672	6	5	4	9	8	29	5	14	0	5	6	7	6	5	3
ENSMUSG00000087674	12.001	42	23	68	70.001	40	73	61	73	26	42	99	40	56	57
ENSMUSG00000087675	1	0	1	3	8	0	1	4	0	1	4	3	1	0	0
ENSMUSG00000087677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087678	1	10	0	16	7	2	10	0	18	3	8	19	7	3	3
ENSMUSG00000087679	93.964	45	19	49	41.473	25	89	64	61.691	98	27	54	36	23.727	16
ENSMUSG00000087681	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000087682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087683	9	0	3	4	3	0	1	0	2	6	0	0	0	1	4
ENSMUSG00000087684	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000087685	0	0	2	0	0	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000087687	47.56	29.308	76.806	30.373	176.204	77.747	34.893	221.511	44	29.121	14.049	54.187	24.301	111.694	40.271
ENSMUSG00000087688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087690	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000087691	14.046	19.972	19.792	0	78.518	3.8	2.737	11.198	0	2	12.149	9.883	6.005	16.238	4.527
ENSMUSG00000087692	3	3	0	2	0	0	1	0	3	3	0	5	1	3	0
ENSMUSG00000087693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087694	153	58	95	59	78	25	134	71	96	11	42	124	73	28	123
ENSMUSG00000087695	4	3	1	0	1	0	2	1	1	2	1	1	3	5	4
ENSMUSG00000087698	4	1	0	0	0	0	0	0	0	1	0	2	1	0	0
ENSMUSG00000087700	36.623	19.791	20.602	16.853	49.772	8.358	30.313	23.361	26.438	46.455	19.367	27.874	14.071	39.441	15.662
ENSMUSG00000087701	0	0	0	0	0	0	0	0	0	0	0	0	1.111	2.181	0
ENSMUSG00000087702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087703	7	0	5	0	0	0	0	1	0	0	0	1	0	0	0
ENSMUSG00000087704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087708	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000087712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087719	1	0	0	0	1	0	5	0	1	1	1	0	0	4	1
ENSMUSG00000087720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087722	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000087723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087736	0	2	5	0	0	1	0	2	1	0	0	0	1	0	0
ENSMUSG00000087739	0	3	0	1	1	0	0	1	0	2	0	0	0	0	0
ENSMUSG00000087742	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000087746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087754	0	0	1	3	9	2	0	3	1	1	3	2	1	6	10
ENSMUSG00000087760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087775	0	1	0	0	3	15	0	4	0	0	0	0	0	15	9
ENSMUSG00000087776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087780	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000087781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087782	0	0	1	0	1	0	1	0	0	0	3	3	0	0	1
ENSMUSG00000087790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087793	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000087795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087806	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087808	1	0	0	0	2	0	0	0	0	0	1	0	1	0	0
ENSMUSG00000087810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087813	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087816	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000087819	2	5	4	2	0	3	5	7	3	0	0	0	0	2	2
ENSMUSG00000087820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087823	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
ENSMUSG00000087825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087847	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000087850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087857	0	0	0	0	1	1	0	1	1	0	2	1	0	3	1
ENSMUSG00000087858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087867	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087870	0	0	0	0	1	0	0	3	0	0	0	0	0	3	3
ENSMUSG00000087871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087878	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087881	2	3	12	3	1	2	2	3	1	0	3	2	1	1	1
ENSMUSG00000087883	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000087884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087887	2	4	0	1	3	0	5	2	1	5	0	5	0	1	0
ENSMUSG00000087892	2	3	4	3	5	1	4	1	6	1	4	5	2	4	12
ENSMUSG00000087893	1	1	1	3	1	0	1	1	1	1	0	0	0	8	6
ENSMUSG00000087894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087903	0	4	0	0	0	0	1	1	0	0	0	0	0	0	0
ENSMUSG00000087908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087926	0	3	0	0	2	0	1	0	1	0	0	0	2	3	0
ENSMUSG00000087929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087935	0	7.689	14.769	9.518	3.09	4.346	2.904	7.732	0	0	0	0	5.002	2.325	0
ENSMUSG00000087936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087938	0	0	0	1	0	0	0	0	0	0	0	2	1	0	1
ENSMUSG00000087939	0	1	0	0	0	0	2	1	0	1	0	1	0	0	0
ENSMUSG00000087940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087949	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1
ENSMUSG00000087950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087963	1	2	1	1	5	7	2	2	1	2	0	0	1	1	0
ENSMUSG00000087964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087968	38	15	10	20	42	37	11	44	10	3	9	10	13	18	20
ENSMUSG00000087973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088001	0	2	1	4	0	0	1	0	4	1	0	2	1	0	0
ENSMUSG00000088002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088005	0	2	0	0	0	0	3	0	0	1	0	0	0	0	2
ENSMUSG00000088008	30	44	55	24	40	27	18	63	7	11	16	16	11	14	17
ENSMUSG00000088009	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000088015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088018	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000088019	0	1	0	0	0	0	0	0	1	0	3	2	0	0	0
ENSMUSG00000088020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088037	1	5	1	0	4	0	5	1	0	0	0	0	0	0	1
ENSMUSG00000088039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088043	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000088044	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000088045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088060	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ENSMUSG00000088068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088088	37.182	183.231	454.185	0	0	348.551	271.641	766.696	0	0	0	394.999	0	0	179.895
ENSMUSG00000088093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088094	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000088095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088103	0	0	1	0	1	0	1	1	0	0	1	1	1	1	0
ENSMUSG00000088104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088106	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088108	1	0	0	0	0	0	0	0	0	4	1	0	0	0	0
ENSMUSG00000088111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088125	0	4	1	4	0	1	5	7	0	2	0	4	2	0	6
ENSMUSG00000088126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088134	0	0	0	1	1	0	0	0	1	0	1	2	0	0	0
ENSMUSG00000088135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088141	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000088145	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000088146	0.852	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088148	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000088149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088151	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000088152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000088157	0	0	0	0	1	0	1	1	0	0	1	2	1	0	1
ENSMUSG00000088159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088168	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
ENSMUSG00000088169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088185	283	155	146	156	465	393	108	343	35	78	66	59	40	90.494	80
ENSMUSG00000088191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088208	2	2	0	0	1	0	0	0	1	4	0	1	0	2	0
ENSMUSG00000088212	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000088217	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088224	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088240	0	0	0	3	2	1	2	6	0	0	4	3	0	1	4
ENSMUSG00000088241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088242	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088252	0	7	2	1	5	0	0	1	0	1	1	3	0	1	0
ENSMUSG00000088253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088254	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000088255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088273	0	0	1	0	0	0	1	0	0	2.733	0	0	0	0	0
ENSMUSG00000088275	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088297	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000088303	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
